Concept,paragraph,definitions,similarity,Verbe,noed_connected,key_list
identify risk,"identify risk be the process of identify individual project risk as well as source of overall project risk , and 
 document their characteristic . the key benefit of this process be the documentation of exist individual project risk 
 and the source of overall project risk . it also bring together information so the project team can respond appropriately 
 to identify risk . this process be perform throughout the project . the input , tool and technique , and output of the 
 process be depict in figure 11 - 6 . figure 11 - 7 depict the data flow diagram for the process . 
 identify risk 
 input output 
 figure 11 - 6 . identify risk : input , tool & technique , and output 
 figure 11 - 7 . identify risk : datum flow diagram 
 identify risk consider both individual project risk and source of overall project risk . participant in risk 
 identification activity may include the follow : project manager , project team member , project risk specialist 
 ( if assign ) , customer , subject matter expert from outside the project team , end user , other project manager , 
 operation manager , stakeholder , and risk management expert within the organization . while these personnel be 
 often key participant for risk identification , all project stakeholder should be encourage to identify individual project 
 risk . it be particularly important to involve the project team so they can develop and maintain a sense of ownership and 
 responsibility for identify individual project risk , the level of overall project risk , and associate risk response action . 
 when describe and record individual project risk , a consistent format should be use for risk statement to 
 ensure that each risk be understand clearly and unambiguously in order to support effective analysis and risk response 
 development . risk owner for individual project risk may be nominate as part of the identify risk process , and will 
 be confirm during the perform qualitative risk analysis process . preliminary risk response may also be identify 
 and record and will be review and confirm as part of the plan risk response process . 
 identify risk be an iterative process , since new individual project risk may emerge as the project progress through 
 its life cycle and the level of overall project risk will also change . the frequency of iteration and participation in each risk 
 identification cycle will vary by situation , and this will be define in the risk management plan . 
 ",individual project risk,['risk report'],be,"['strategy for overall project risk', 'plan risk response', 'plan risk management']","['risk', 'stakeholder', 'project', 'development', 'responsibility']"
project management plan,"describe in section 4.2.3.1 . project management plan component include but be not limit to : 
  requirement management plan . describe in section 5.1.3.2 . the requirement management plan may 
 indicate project objective that be particularly at risk . 
  schedule management plan . describe in section 6.1.3.1 . the schedule management plan may identify area 
 that be subject to uncertainty or ambiguity . 
  cost management plan . describe in section 7.1.3.1 . the cost management plan may identify area that be 
 subject to uncertainty or ambiguity . 
  quality management plan . describe in section 8.1.3.1 . the quality management plan may identify area that 
 be subject to uncertainty or ambiguity , or where key assumption have be make that might give rise to risk . 
  resource management plan . describe in section 9.1.3.1 . the resource management plan may identify 
 area that be subject to uncertainty or ambiguity , or where key assumption have be make that might give 
 rise to risk . 
  risk management plan . describe in section 11.1.3.1 . the risk management plan provide information on risk- 
 relate role and responsibility , indicate how risk management activity be include in the budget and 
 schedule , and describe category of risk , which may be express as a risk breakdown structure ( figure 11 - 4 ) . 
  scope baseline . describe in section 5.4.3.1 . the scope baseline include deliverable and criterion for their 
 acceptance , some of which might give rise to risk . it also contain the wb , which can be use as a framework 
 to structure risk identification technique . 
  schedule baseline . describe in section 6.5.3.1 . the schedule baseline may be review to identify milestone 
 and deliverable due date that be subject to uncertainty or ambiguity , or where key assumption have be 
 make that might give rise to risk . 
  cost baseline . describe in section 7.3.3.1 . the cost baseline may be review to identify cost or funding 
 requirement that be subject to uncertainty or ambiguity , or where key assumption have be make that might 
 give rise to risk . 
 ",requirement management plan,"['project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan update', 'project management plan', 'project management plan', 'project management plan update']",be,"['risk management plan', 'project management plan', 'project management plan']","['risk', 'ambiguity', 'management', 'plan', 'uncertainty']"
project document,"project document that can be consider as input for this process include but be not limit to : 
  assumption log . describe in section 4.1.3.2 . assumption and constraint record in the assumption log may 
 give rise to individual project risk and may also influence the level of overall project risk . 
  cost estimate . describe in section 7.2.3.1 . cost estimate provide quantitative assessment of project cost , 
 ideally express as a range , indicate the degree of risk , where a structured review of the document may 
 indicate that the current estimate be insufficient and pose a risk to the project . 
  duration estimate . describe in section 6.4.3.1 . duration estimate provide quantitative assessment of 
 project duration , ideally express as a range , indicate the degree of risk , where a structured review of the 
 document may indicate that the current estimate be insufficient and pose a risk to the project . 
  issue log . describe in section 4.3.3.3 . issue record in the issue log may give rise to individual project risk 
 and may also influence the level of overall project risk . 
  lesson learn register . describe in section 4.4.3.1 . lesson learn about risk identify from early phase 
 of the project be review to determine whether similar risk might recur during the remainder of the project . 
  requirement documentation . describe in section 5.2.3.1 . requirement documentation list the project 
 requirement and allow the team to identify those that could be at risk . 
  resource requirement . describe in section 9.2.3.1 . resource requirement provide quantitative 
 assessment of project resource requirement , ideally express as a range , indicate the degree of risk , 
 where a structured review of the document may indicate that the current estimate be insufficient and pose 
 a risk to the project . 
  stakeholder register . describe in section 13.1.3.1 . the stakeholder register indicate which individual or 
 group might participate in identify risk to the project . it also detail those individual who be available to 
 act as risk owner . 
 ",assumption log,"['project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update']",be,"['project document', 'project document', 'project document']","['documentation', 'estimate', 'duration', 'assessment', 'project']"
agreement,"describe in section 12.2.3.2 . if the project require external procurement of resource , the agreement may have 
 information such as milestone date , contract type , acceptance criterion , and award and penalty that can present 
 threat or opportunity . 
 ","milestone date , contract type , acceptance criterion , and award and penalty",[],require,"['procurement documentation', 'strategy for threat', 'strategy for opportunity']","['procurement', 'contract', 'resource', 'milestone', 'agreement']"
procurement documentation,"describe in section 12.3.1.4 . if the project require external procurement of resource , the initial procurement 
 documentation should be review as procure good and service from outside the organization may increase or 
 decrease overall project risk and may introduce additional individual project risk . as the procurement documentation 
 be update throughout the project , the most up to date documentation can be review for risk . for example , seller 
 performance report , approve change request and information on inspection . 
 ",procure good and service from outside the organization,[],be,"['change request', 'change request', 'change request']","['documentation', 'procurement', 'inspection', 'resource', 'procure']"
enterprise environmental factor,"the enterprise environmental factor that can influence the identify risk process include but be not limit to : 
  publish material , include commercial risk database or checklist , 
  academic study , 
  benchmarke result , and 
  industry study of similar project . 
 ",publish material,"['enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor']",include,"['enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor']","['risk', 'environmental', 'enterprise', 'influence', 'industry']"
organizational process asset,"the organizational process asset that can influence the identify risk process include but be not limit to : 
  project file , include actual datum , 
  organizational and project process control , 
  risk statement format , and 
  checklist from previous similar project . 
 ",project file,"['organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset']",include,"['organizational process asset', 'organizational process asset', 'organizational process asset']","['risk', 'asset', 'process', 'organizational', 'project']"
expert judgment,"describe in section 4.1.2.1 . expertise should be consider from individual or group with specialized knowledge 
 of similar project or business area . such expert should be identify by the project manager and invite to consider 
 all aspect of individual project risk as well as source of overall project risk , base on their previous experience and 
 area of expertise . the expert ’ bias should be take into account in this process . 
 ",expert ’ bias,"['expert judgment', 'expert judgment', 'expert judgment', 'expert judgment', 'expert judgment']",be,"['expert judgment', 'expert judgment', 'expert judgment']","['expertise', 'expert', 'knowledge', 'risk', 'project']"
datum gathering,"data - gather technique that can be use for this process include but be not limit to : 
  brainstorming . the goal of brainstorming ( see section 4.1.2.2 ) be to obtain a comprehensive list of individual 
 project risk and source of overall project risk . the project team usually perform brainstorming , often with 
 a multidisciplinary set of expert who be not part of the team . idea be generate under the guidance of a 
 facilitator , either in a free - form brainstorm session or one that use more structured technique . category of 
 risk , such as in a risk breakdown structure , can be use as a framework . particular attention should be pay to 
 ensure that risk identify through brainstorming be clearly describe , since the technique can result in idea 
 that be not fully form . 
  checklist . a checklist be a list of item , action , or point to be consider . it be often use as a reminder . 
 risk checklist be develop base on historical information and knowledge that have be accumulate from 
 similar project and from other source of information . they be an effective way to capture lesson learn 
 from similar complete project , list specific individual project risk that have occur previously and that 
 may be relevant to this project . the organization may maintain a risk checklist base on its own complete 
 project or may use generic risk checklist from the industry . while a checklist may be quick and simple to use , 
 it be impossible to build an exhaustive one , and care should be take to ensure the checklist be not use to avoid 
 the effort of proper risk identification . the project team should also explore item that do not appear on the 
 checklist . additionally , the checklist should be review from time to time to update new information as well as 
 remove or archive obsolete information . 
  interview . individual project risk and source of overall project risk can be identify by interview experienced 
 project participant , stakeholder , and subject matter expert . interview ( see section 5.2.2.2 ) should be 
 conduct in an environment of trust and confidentiality to encourage honest and unbiased contribution . 
 ",brainstorming,"['datum gathering', 'datum gathering', 'datum gathering']",be,"['strategy for overall project risk', 'project management information system ( pmis )', 'project document update']","['brainstorming', 'brainstorm', 'risk', 'project', 'checklist']"
datum analysis,"datum analysis technique that can be use for this process include but be not limit to : 
  root cause analysis . root cause analysis ( see section 8.2.2.2 ) be typically use to discover the underlie 
 cause that lead to a problem , and develop preventive action . it can be use to identify threat by start with a 
 problem statement ( for example , the project might be delay or over budget ) and explore which threat might 
 result in that problem occur . the same technique can be use to find opportunity by start with a benefit 
 statement ( for example , early delivery or under budget ) and explore which opportunity might result in that 
 benefit be realize . 
  assumption and constraint analysis . every project and its project management plan be conceive 
 and develop base on a set of assumption and within a series of constraint . these be often already 
 incorporate in the scope baseline and project estimate . assumption and constraint analysis explore the 
 validity of assumption and constraint to determine which pose a risk to the project . threat may be identify 
 from the inaccuracy , instability , inconsistency , or incompleteness of assumption . constraint may give rise to 
 opportunity through remove or relax a limit factor that affect the execution of a project or process . 
  swot analysis . this technique examine the project from each of the strength , weakness , opportunity , 
 and threat ( swot ) perspective . for risk identification , it be use to increase the breadth of identify risk by 
 include internally generate risk . the technique start with the identification of strength and weakness 
 of the organization , focus on either the project , organization , or the business area in general . swot analysis 
 then identify any opportunity for the project that may arise from strength , and any threat result from 
 weakness . the analysis also examine the degree to which organizational strength may offset threat and 
 determine if weakness might hinder opportunity . 
  document analysis . describe in section 5.2.2.3 . risk may be identify from a structured review of project 
 document , include , but not limit to , plan , assumption , constraint , previous project file , contract , 
 agreement , and technical documentation . uncertainty or ambiguity in project document , as well as 
 inconsistency within a document or between different document , may be indicator of risk on the project . 
 ",root cause analysis,"['datum analysis', 'datum analysis', 'datum analysis']",be,"['project document', 'project document', 'project document']","['analysis', 'constraint', 'project', 'risk', 'management']"
interpersonal and team skill,"interpersonal and team skill that can be use for this process include but be not limit to facilitation ( see section 
 4.1.2.3 ) . facilitation improve the effectiveness of many of the technique use to identify individual project risk and 
 source of overall project risk . a skilled facilitator can help participant remain focused on the risk identification task , 
 follow the method associate with the technique accurately , ensure clear risk description , identify and overcome 
 source of bias , and resolve any disagreement that may arise . 
 ",facilitation,"['interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill']",be,"['interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill']","['facilitation', 'facilitator', 'risk', 'skill', 'skilled']"
prompt list,"a prompt list be a predetermined list of risk category that might give rise to individual project risk and that could also 
 act as source of overall project risk . the prompt list can be use as a framework to aid the project team in idea generation 
 when use risk identification technique . the risk category in the low level of the risk breakdown structure can be 
 use as a prompt list for individual project risk . some common strategic framework be more suitable for identify 
 source of overall project risk , for example pestle ( political , economic , social , technological , legal , environmental ) , tecop 
 ( technical , environmental , commercial , operational , political ) , or vuca ( volatility , uncertainty , complexity , ambiguity ) . 
 ",a predetermined list of risk category that might give rise to individual project risk,[],be,"['strategy for overall project risk', 'identify risk', 'enterprise environmental factor']","['risk', 'prompt', 'list', 'strategic', 'predetermined']"
meeting,"to undertake risk identification , the project team may conduct a specialized meeting ( often call a risk workshop ) . 
 most risk workshop include some form of brainstorming ( see section 4.1.2.2 ) , but other risk identification technique 
 may be include depend on the level of the risk process define in the risk management plan . use of a skilled 
 facilitator will increase the effectiveness of the meeting . it be also essential to ensure that the right people participate in 
 the risk workshop . on large project , it may be appropriate to invite the project sponsor , subject matter expert , seller , 
 representative of the customer , or other project stakeholder . risk workshop for small project may be restrict to 
 a subset of the project team . 
 ",risk workshop,"['meeting', 'meeting', 'meeting']",be,"['meeting', 'meeting', 'meeting']","['risk', 'workshop', 'brainstorming', 'stakeholder', 'project']"
risk register,"the risk register capture detail of identify individual project risk . the result of perform qualitative risk analysis , 
 plan risk response , implement risk response , and monitor risk be record in the risk register as those process 
 be conduct throughout the project . the risk register may contain limited or extensive risk information depend on 
 project variable such as size and complexity . 
 on completion of the identify risk process , the content of the risk register may include but be not limit to : 
  list of identify risk . each individual project risk be give a unique identifier in the risk register . identify risk 
 be describe in as much detail as require to ensure unambiguous understanding . a structured risk statement 
 may be use to distinguish risk from their cause(s ) and their effect(s ) . 
  potential risk owner . where a potential risk owner have be identify during the identify risk process , the 
 risk owner be record in the risk register . this will be confirm during the perform qualitative risk analysis 
 process . 
  list of potential risk response . where a potential risk response have be identify during the identify risk 
 process , it be record in the risk register . this will be confirm during the plan risk response process . 
 additional datum may be record for each identify risk , depend on the risk register format specify in the risk 
 management plan . this may include : a short risk title , risk category , current risk status , one or more cause , one or 
 more effect on objective , risk trigger ( event or condition that indicate that a risk be about to occur ) , wb reference 
 of affected activity , and time information ( when be the risk identify , when might the risk occur , when might it no 
 long be relevant , and what be the deadline for take action ) . 
 ",management plan,[],be,"['risk register', 'plan risk response', 'plan risk management']","['risk', 'identifier', 'register', 'analysis', 'qualitative']"
risk report,"the risk report present information on source of overall project risk , together with summary information on identify 
 individual project risk . the risk report be develop progressively throughout the project risk management process . the 
 result of perform qualitative risk analysis , perform quantitative risk analysis , plan risk response , implement risk 
 response , and monitor risk be also include in the risk report as those process be complete . on completion of 
 the identify risk process , information in the risk report may include but be not limit to : 
  source of overall project risk , indicate which be the most important driver of overall project risk exposure ; 
 and 
  summary information on identify individual project risk , such as number of identify threat and opportunity , 
 distribution of risk across risk category , metric and trend , etc . 
 additional information may be include in the risk report , depend on the reporting requirement specify in the 
 risk management plan . 
 ",source of overall project risk,['identify risk'],be,"['identify risk', 'plan risk response', 'plan risk management']","['risk', 'project', 'information', 'reporting', 'analysis']"
project document update,"project document that may be update as a result of this process include but be not limit to : 
  assumption log . describe in section 4.1.3.2 . during the identify risk process , new assumption may be 
 make , new constraint may be identify , and exist assumption or constraint may be revisit and change . 
 the assumption log should be update with this new information . 
  issue log . describe in section 4.3.3.3 . the issue log should be update to capture any new issue uncover 
 or change in currently log issue . 
  lesson learn register . describe in section 4.4.3.1 . the lesson learn register can be update with 
 information on technique that be effective in identify risk to improve performance in later phase or 
 other project . 
 ",assumption log .,"['project document', 'project document', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update']",be,"['project document update', 'project document update', 'project document update']","['lesson', 'risk', 'log', 'constraint', 'information']"
perform qualitative risk analysis,"perform qualitative risk analysis be the process of prioritize individual project risk for further analysis or action 
 by assess their probability of occurrence and impact as well as other characteristic . the key benefit of this 
 process be that it focus effort on high - priority risk . this process be perform throughout the project . the input , 
 tool and technique , and output of the process be depict in figure 11 - 8 . figure 11 - 9 depict the data flow 
 diagram for the process . 
 perform qualitative risk analysis 
 input 
 figure 11 - 8 . perform qualitative risk analysis : input , tool & technique , and output 
  
 charter 
 figure 11 - 9 . perform qualitative risk analysis : datum flow diagram 
 perform qualitative risk analysis assess the priority of identify individual project risk use their probability of 
 occurrence , the corresponding impact on project objective if the risk occur , and other factor . such assessment be 
 subjective as they be base on perception of risk by the project team and other stakeholder . effective assessment 
 therefore require explicit identification and management of the risk attitude of key participant in the perform 
 qualitative risk analysis process . risk perception introduce bias into the assessment of identify risk , so attention 
 should be pay to identify bias and correct for it . where a facilitator be use to support the perform qualitative 
 risk analysis process , address bias be a key part of the facilitator ’s role . an evaluation of the quality of the available 
 information on individual project risk also help to clarify the assessment of each risk ’s importance to the project . 
 perform qualitative risk analysis establish the relative priority of individual project risk for plan risk response . 
 it identify a risk owner for each risk who will take responsibility for plan an appropriate risk response and ensure 
 that it be implement . perform qualitative risk analysis also lay the foundation for perform quantitative risk analysis 
 if this process be require . 
 the perform qualitative risk analysis process be perform regularly throughout the project life cycle , as define in 
 the risk management plan . often , in an agile development environment , the perform qualitative risk analysis process be 
 conduct before the start of each iteration . 
 ",the risk management plan,['perform quantitative risk analysis'],be,"['perform quantitative risk analysis', 'identify risk', 'datum analysis']","['qualitative', 'risk', 'assess', 'assessment', 'stakeholder']"
project management plan,"describe in section 4.2.3.1 . project management plan component include the risk management plan as 
 describe in section 11.1.3.1 . of particular interest in this process be the role and responsibility for conduct risk 
 management , budget for risk management , schedule activity for risk management , risk category ( often define in 
 a risk breakdown structure ) , definition of probability and impact , the probability and impact matrix , and stakeholder ’ 
 risk threshold . these input be usually tailor to the project during the plan risk management process . if they be 
 not available , they may be develop during the perform qualitative risk analysis process and present to the project 
 sponsor for approval before use . 
 ",risk management plan,"['project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan update', 'project management plan', 'project management plan', 'project management plan update']",be,"['risk management plan', 'project management plan', 'project management plan']","['risk', 'stakeholder', 'management', 'project', 'responsibility']"
project document,"project document that can be consider as input for this process include but be not limit to : 
  assumption log . describe in section 4.1.3.2 . the assumption log be use for identify , manage , and 
 monitor key assumption and constraint that may affect the project . these may inform the assessment of 
 the priority of individual project risk . 
  risk register . describe in section 11.2.3.1 . the risk register contain detail of each identify individual project 
 risk that will be assess during the perform qualitative risk analysis process . 
  stakeholder register . describe in section 13.1.3.1 . this include detail of project stakeholder who may be 
 nominate as risk owner . 
 ",assumption log,"['project document', 'project document', 'project document update', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update']",be,"['identify risk', 'perform qualitative risk analysis', 'monitor risk']","['stakeholder', 'risk', 'assess', 'qualitative', 'assessment']"
enterprise environmental factor,"the enterprise environmental factor that can influence perform qualitative risk analysis include but be not limit to : 
  industry study of similar project , and 
  publish material , include commercial risk database or checklist . 
 ",industry study of similar project,"['enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor']",include,"['enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor']","['risk', 'environmental', 'qualitative', 'enterprise', 'analysis']"
organizational process asset,"the organizational process asset that can influence perform qualitative risk analysis include but be not limit to 
 information from similar complete project . 
 11.3.2 perform qualitative risk analysis : tool and technique 
 ","
 information from similar complete project","['organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset']",influence,"['organizational process asset', 'organizational process asset', 'organizational process asset']","['qualitative', 'risk', 'analysis', 'organizational', 'process']"
expert judgment,"describe in section 4.1.2.1 . expertise should be consider from individual or group with specialized knowledge 
 or training in the follow topic : 
  previous similar project , and 
  qualitative risk analysis . 
 expert judgment be often obtain through facilitate risk workshop or interview . the possibility of expert view 
 be bias should be take into account in this process . 
 ",bias,"['expert judgment', 'expert judgment', 'expert judgment', 'expert judgment', 'expert judgment']",be,"['expert judgment', 'expert judgment', 'expert judgment']","['expertise', 'expert', 'knowledge', 'risk', 'qualitative']"
datum gathering,"data - gather technique that can be use for this process include but be not limit to interview . structure or 
 semi - structured interview ( section 5.2.2.2 ) can be use to assess the probability and impact of individual project risk , 
 as well as other factor . the interviewer should promote an environment of trust and confidentiality in the interview 
 setting to encourage honest and unbiased assessment . 
 ",semi - structured interview,"['datum gathering', 'datum gathering', 'datum gathering']",be,"['data analysis', 'enterprise environmental factor', 'enterprise environmental factor']","['interview', 'interviewer', 'structured', 'assess', 'assessment']"
